"accident_index","accident_year","accident_reference","location_easting_osgr","location_northing_osgr","longitude","latitude","police_force","accident_severity","number_of_vehicles","number_of_casualties","date","day_of_week","time","local_authority_district","local_authority_ons_district","local_authority_highway","first_road_class","first_road_number","road_type","speed_limit","junction_detail","junction_control","second_road_class","second_road_number","pedestrian_crossing_human_control","pedestrian_crossing_physical_facilities","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","did_police_officer_attend_scene_of_accident","trunk_road_flag","lsoa_of_accident_location","datetime"
"2021991013103",2021,"991013103",376688,643293,-2.372309,55.682552,"Police Scotland","Serious",1,1,2021-01-10,"Sunday",22:22:00,NA,"S12000026","S12000026","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-10 22:22:00
"2021991013607",2021,"991013607",308829,724868,-3.479016,56.40721,"Police Scotland","Slight",1,2,2021-01-07,"Thursday",20:00:00,NA,"S12000048","S12000048","A",NA,"Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Data missing or out of range","-1",2021-01-07 20:00:00
"2021991013790",2021,"991013790",290628,697009,-3.762263,56.153173,"Police Scotland","Slight",4,2,2021-01-12,"Tuesday",17:40:00,NA,"S12000005","S12000005","A",NA,"Single carriageway",60,"Private drive or entrance","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Other","Frost or ice","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-12 17:40:00
"2021991013815",2021,"991013815",237435,627692,-4.576233,55.515843,"Police Scotland","Serious",3,3,2021-01-12,"Tuesday",09:10:00,NA,"S12000028","S12000028","A",NA,"Dual carriageway",70,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-12 09:10:00
"2021991013984",2021,"991013984",309397,860636,-3.518734,57.626529,"Police Scotland","Slight",3,2,2021-01-13,"Wednesday",11:38:00,NA,"S12000020","S12000020","A",NA,"Single carriageway",60,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-13 11:38:00
"2021991014083",2021,"991014083",330495,671752,-3.114107,55.933779,"Police Scotland","Slight",2,1,2021-01-13,"Wednesday",21:45:00,NA,"S12000036","S12000036","A",NA,"Single carriageway",30,"Crossroads","Auto traffic signal","A",NA,"None within 50 metres","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","Yes","Data missing or out of range","-1",2021-01-13 21:45:00
"2021991014355",2021,"991014355",349240,757134,-2.8306,56.703131,"Police Scotland","Serious",1,1,2021-01-14,"Thursday",06:25:00,NA,"S12000041","S12000041","A",NA,"Dual carriageway",70,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Snowing no high winds","Snow","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-14 06:25:00
"2021991014362",2021,"991014362",244045,608327,-4.460815,55.34416,"Police Scotland","Slight",1,1,2021-01-14,"Thursday",00:05:00,NA,"S12000008","S12000008","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Raining no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-14 00:05:00
"2021991014426",2021,"991014426",327242,695184,-3.17253,56.143778,"Police Scotland","Slight",1,1,2021-01-11,"Monday",00:40:00,NA,"S12000047","S12000047","A",NA,"Dual carriageway",70,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine no high winds","Wet or damp","None","None","Rural","No","Data missing or out of range","-1",2021-01-11 00:40:00
"2021991014611",2021,"991014611",326665,676245,-3.17662,55.973568,"Police Scotland","Slight",1,1,2021-01-16,"Saturday",00:20:00,NA,"S12000036","S12000036","A",NA,"Single carriageway",20,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","Yes","Data missing or out of range","-1",2021-01-16 00:20:00
"2021991014708",2021,"991014708",209277,772954,-5.125721,56.808862,"Police Scotland","Slight",1,1,2021-01-16,"Saturday",14:50:00,NA,"S12000017","S12000017","A",NA,"Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Raining + high winds","Wet or damp","None","None","Urban","Yes","Data missing or out of range","-1",2021-01-16 14:50:00
"2021991014728",2021,"991014728",297196,575853,-3.611323,55.066472,"Police Scotland","Slight",2,1,2021-01-14,"Thursday",17:10:00,NA,"S12000006","S12000006","A",NA,"Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","Central refuge","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Data missing or out of range","-1",2021-01-14 17:10:00
"2021991014805",2021,"991014805",257982,665639,-4.270791,55.86294,"Police Scotland","Slight",2,2,2021-01-17,"Sunday",19:00:00,NA,"S12000049","S12000049","A",NA,"Dual carriageway",30,"Crossroads","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","Yes","Data missing or out of range","-1",2021-01-17 19:00:00
"2021991014806",2021,"991014806",254637,668223,-4.325576,55.88514,"Police Scotland","Serious",1,1,2021-01-17,"Sunday",15:00:00,NA,"S12000049","S12000049","A",NA,"Single carriageway",30,"T or staggered junction","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Control by other authorised person","Pedestrian phase at traffic signal junction","Daylight","Raining no high winds","Wet or damp","Roadworks","Other object on road","Urban","Yes","Data missing or out of range","-1",2021-01-17 15:00:00
"2021991014812",2021,"991014812",385576,806767,-2.240046,57.151537,"Police Scotland","Slight",3,1,2021-01-12,"Tuesday",07:02:00,NA,"S12000033","S12000033","A",NA,"Slip road",70,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine no high winds","Frost or ice","None","None","Rural","No","Data missing or out of range","-1",2021-01-12 07:02:00
"2021991014846",2021,"991014846",286057,602709,-3.796476,55.305245,"Police Scotland","Slight",1,2,2021-01-17,"Sunday",08:31:00,NA,"S12000006","S12000006","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Frost or ice","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-17 08:31:00
"2021991015097",2021,"991015097",369377,763034,-2.502461,56.757892,"Police Scotland","Serious",1,1,2021-01-18,"Monday",05:00:00,NA,"S12000041","S12000041","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine no high winds","Frost or ice","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-18 05:00:00
"2021991015101",2021,"991015101",207934,555723,-4.993923,54.859338,"Police Scotland","Serious",1,1,2021-01-05,"Tuesday",00:03:00,NA,"S12000006","S12000006","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine no high winds","Frost or ice","None","None","Rural","No","Data missing or out of range","-1",2021-01-05 00:03:00
"2021991015333",2021,"991015333",389435,809768,-2.176391,57.1786,"Police Scotland","Slight",2,1,2021-01-14,"Thursday",18:45:00,NA,"S12000033","S12000033","A",NA,"Roundabout",40,"Roundabout","Give way or uncontrolled","A",NA,"None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Wet or damp","None","None","Urban","Yes","Data missing or out of range","-1",2021-01-14 18:45:00
"2021991015439",2021,"991015439",253714,669309,-4.340906,55.89461,"Police Scotland","Slight",2,2,2021-01-19,"Tuesday",16:50:00,NA,"S12000049","S12000049","A",NA,"Dual carriageway",30,"Crossroads","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","No","Data missing or out of range","-1",2021-01-19 16:50:00
"2021991015456",2021,"991015456",325702,663176,-3.188448,55.856024,"Police Scotland","Serious",1,1,2021-01-19,"Tuesday",14:43:00,NA,"S12000019","S12000019","A",NA,"Single carriageway",40,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-19 14:43:00
"2021991015697",2021,"991015697",305292,638965,-3.505968,55.634987,"Police Scotland","Serious",1,1,2021-01-20,"Wednesday",11:16:00,NA,"S12000029","S12000029","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Snowing no high winds","Wet or damp","Road surface defective","None","Rural","No","Data missing or out of range","-1",2021-01-20 11:16:00
"2021991015780",2021,"991015780",257670,667690,-4.27685,55.881262,"Police Scotland","Slight",2,1,2021-01-19,"Tuesday",17:20:00,NA,"S12000049","S12000049","A",NA,"Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","Yes","Data missing or out of range","-1",2021-01-19 17:20:00
"2021991015801",2021,"991015801",270294,664642,-4.073741,55.857461,"Police Scotland","Slight",1,1,2021-01-20,"Wednesday",16:30:00,NA,"S12000050","S12000050","A",NA,"Dual carriageway",30,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Raining no high winds","Frost or ice","None","None","Urban","No","Data missing or out of range","-1",2021-01-20 16:30:00
"2021991015854",2021,"991015854",226728,559894,-4.704004,54.903637,"Police Scotland","Serious",2,3,2021-01-18,"Monday",12:55:00,NA,"S12000006","S12000006","A",NA,"Dual carriageway",70,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-18 12:55:00
"2021991016112",2021,"991016112",186052,729553,-5.469478,56.409583,"Police Scotland","Fatal",1,1,2021-01-21,"Thursday",18:40:00,NA,"S12000035","S12000035","A",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Wet or damp","None","None","Urban","Yes","Data missing or out of range","-1",2021-01-21 18:40:00
"2021991016114",2021,"991016114",325681,694919,-3.197572,56.141157,"Police Scotland","Slight",1,1,2021-01-21,"Thursday",06:00:00,NA,"S12000047","S12000047","A",NA,"Dual carriageway",70,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Snowing no high winds","Snow","None","None","Rural","No","Data missing or out of range","-1",2021-01-21 06:00:00
"2021991016221",2021,"991016221",235587,673964,-4.63329,55.93054,"Police Scotland","Slight",3,3,2021-01-22,"Friday",07:30:00,NA,"S12000018","S12000018","A",NA,"Dual carriageway",70,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-22 07:30:00
"2021991016279",2021,"991016279",274766,888654,-4.112848,57.869729,"Police Scotland","Serious",1,1,2021-01-22,"Friday",08:10:00,NA,"S12000017","S12000017","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Frost or ice","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-22 08:10:00
"2021991016297",2021,"991016297",209631,586387,-4.98792,55.135159,"Police Scotland","Serious",1,1,2021-01-22,"Friday",10:25:00,NA,"S12000028","S12000028","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Raining no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-22 10:25:00
"2021991016353",2021,"991016353",325916,673710,-3.18792,55.950682,"Police Scotland","Slight",1,1,2021-01-22,"Friday",16:00:00,NA,"S12000036","S12000036","A",NA,"Single carriageway",20,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Daylight","Fine no high winds","Wet or damp","None","None","Urban","Yes","Data missing or out of range","-1",2021-01-22 16:00:00
"2021991016357",2021,"991016357",219210,665043,-4.889115,55.844612,"Police Scotland","Slight",3,2,2021-01-22,"Friday",15:55:00,NA,"S12000021","S12000021","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Rural","No","Data missing or out of range","-1",2021-01-22 15:55:00
"2021991016429",2021,"991016429",338332,861234,-3.034506,57.63679,"Police Scotland","Slight",1,1,2021-01-23,"Saturday",09:52:00,NA,"S12000020","S12000020","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Frost or ice","None","Previous accident","Rural","Yes","Data missing or out of range","-1",2021-01-23 09:52:00
"2021991016431",2021,"991016431",280334,695322,-3.927117,56.135551,"Police Scotland","Serious",2,1,2021-01-23,"Saturday",13:10:00,NA,"S12000030","S12000030","A",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Data missing or out of range","-1",2021-01-23 13:10:00
"2021991016436",2021,"991016436",258805,668712,-4.259255,55.890771,"Police Scotland","Slight",1,1,2021-01-23,"Saturday",13:23:00,NA,"S12000049","S12000049","A",NA,"Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","Central refuge","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Data missing or out of range","-1",2021-01-23 13:23:00
"2021991016451",2021,"991016451",391337,809138,-2.14491,57.172981,"Police Scotland","Slight",2,1,2021-01-22,"Friday",08:57:00,NA,"S12000033","S12000033","A",NA,"Roundabout",40,"Roundabout","Give way or uncontrolled","A",NA,"None within 50 metres","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Daylight","Fine no high winds","Dry","None","None","Urban","No","Data missing or out of range","-1",2021-01-22 08:57:00
"2021991016488",2021,"991016488",365773,747017,-2.559264,56.613756,"Police Scotland","Serious",2,3,2021-01-23,"Saturday",19:30:00,NA,"S12000041","S12000041","A",NA,"Single carriageway",60,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine no high winds","Dry","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-23 19:30:00
"2021991016764",2021,"991016764",329755,669466,-3.125353,55.913136,"Police Scotland","Slight",2,1,2021-01-14,"Thursday",08:15:00,NA,"S12000036","S12000036","A",NA,"Single carriageway",30,"T or staggered junction","Auto traffic signal","B",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Other","Dry","None","None","Rural","No","Data missing or out of range","-1",2021-01-14 08:15:00
"2021991017157",2021,"991017157",251029,659947,-4.37866,55.809744,"Police Scotland","Slight",2,1,2021-01-26,"Tuesday",18:23:00,NA,"S12000011","S12000011","A",NA,"Roundabout",30,"Roundabout","Give way or uncontrolled","A",NA,"None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","No","Data missing or out of range","-1",2021-01-26 18:23:00
