"accident_index","accident_year","accident_reference","location_easting_osgr","location_northing_osgr","longitude","latitude","police_force","accident_severity","number_of_vehicles","number_of_casualties","date","day_of_week","time","local_authority_district","local_authority_ons_district","local_authority_highway","first_road_class","first_road_number","road_type","speed_limit","junction_detail","junction_control","second_road_class","second_road_number","pedestrian_crossing_human_control","pedestrian_crossing_physical_facilities","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","did_police_officer_attend_scene_of_accident","trunk_road_flag","lsoa_of_accident_location","datetime"
"2021991011383",2021,"991011383",394649,803825,-2.090023,57.125305,"Police Scotland","Serious",1,1,2021-01-01,"Friday",19:21:00,NA,"S12000033","S12000033","A",NA,"Dual carriageway",40,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights unlit","Fine no high winds","Wet or damp","None","None","Urban","Yes","Data missing or out of range","-1",2021-01-01 19:21:00
"2021991011391",2021,"991011391",367434,827571,-2.542628,57.337476,"Police Scotland","Serious",1,1,2021-01-02,"Saturday",20:15:00,NA,"S12000034","S12000034","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Other","Frost or ice","None","None","Rural","No","Data missing or out of range","-1",2021-01-02 20:15:00
"2021991011392",2021,"991011392",368288,827118,-2.528384,57.333467,"Police Scotland","Serious",1,1,2021-01-02,"Saturday",21:35:00,NA,"S12000034","S12000034","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine no high winds","Frost or ice","None","None","Rural","No","Data missing or out of range","-1",2021-01-02 21:35:00
"2021991011441",2021,"991011441",358252,631426,-2.66368,55.574694,"Police Scotland","Slight",2,1,2021-01-03,"Sunday",15:23:00,NA,"S12000026","S12000026","A",NA,"Dual carriageway",50,"Other junction","Give way or uncontrolled","B",NA,"None within 50 metres","Central refuge","Daylight","Fine no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-03 15:23:00
"2021991011456",2021,"991011456",314166,761353,-3.40466,56.735887,"Police Scotland","Fatal",1,4,2021-01-03,"Sunday",16:18:00,NA,"S12000048","S12000048","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-03 16:18:00
"2021991011460",2021,"991011460",317362,949801,-3.416741,58.42868,"Police Scotland","Slight",1,1,2021-01-03,"Sunday",20:00:00,NA,"S12000017","S12000017","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine no high winds","Frost or ice","None","None","Rural","No","Data missing or out of range","-1",2021-01-03 20:00:00
"2021991011470",2021,"991011470",277183,652822,-3.958419,55.753127,"Police Scotland","Slight",2,2,2021-01-03,"Sunday",21:50:00,NA,"S12000029","S12000029","A",NA,"Single carriageway",40,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Raining no high winds","Frost or ice","None","None","Rural","No","Data missing or out of range","-1",2021-01-03 21:50:00
"2021991011682",2021,"991011682",288263,902060,-3.891793,57.993656,"Police Scotland","Serious",1,1,2021-01-04,"Monday",07:35:00,NA,"S12000017","S12000017","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine no high winds","Frost or ice","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-04 07:35:00
"2021991011727",2021,"991011727",266075,665221,-4.141377,55.861505,"Police Scotland","Serious",1,1,2021-01-04,"Monday",16:17:00,NA,"S12000049","S12000049","A",NA,"Dual carriageway",40,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Urban","Yes","Data missing or out of range","-1",2021-01-04 16:17:00
"2021991011737",2021,"991011737",267222,869721,-4.22941,57.697621,"Police Scotland","Fatal",2,1,2021-01-04,"Monday",21:10:00,NA,"S12000017","S12000017","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-04 21:10:00
"2021991012011",2021,"991012011",251721,653105,-4.363906,55.748535,"Police Scotland","Slight",2,2,2021-01-05,"Tuesday",13:03:00,NA,"S12000011","S12000011","A",NA,"Single carriageway",40,"Other junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Other","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-05 13:03:00
"2021991012049",2021,"991012049",348221,621046,-2.820808,55.480472,"Police Scotland","Serious",1,2,2021-01-04,"Monday",19:30:00,NA,"S12000026","S12000026","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Snowing no high winds","Snow","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-04 19:30:00
"2021991012076",2021,"991012076",260446,702212,-4.250488,56.192001,"Police Scotland","Serious",2,1,2021-01-05,"Tuesday",12:30:00,NA,"S12000030","S12000030","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-05 12:30:00
"2021991012301",2021,"991012301",281211,682207,-3.907187,56.018004,"Police Scotland","Slight",2,1,2021-01-06,"Wednesday",10:40:00,NA,"S12000014","S12000014","A",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Urban","No","Data missing or out of range","-1",2021-01-06 10:40:00
"2021991012617",2021,"991012617",341936,738068,-2.945574,56.531019,"Police Scotland","Slight",2,4,2021-01-07,"Thursday",14:54:00,NA,"S12000041","S12000041","A",NA,"Dual carriageway",70,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2021-01-07 14:54:00
"2021991012909",2021,"991012909",327981,674199,-3.154992,55.955389,"Police Scotland","Slight",1,1,2021-01-08,"Friday",17:15:00,NA,"S12000036","S12000036","A",NA,"Single carriageway",30,"T or staggered junction","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Fine no high winds","Frost or ice","None","None","Urban","Yes","Data missing or out of range","-1",2021-01-08 17:15:00
"2021991012933",2021,"991012933",351745,840308,-2.805729,57.450482,"Police Scotland","Serious",2,2,2021-01-05,"Tuesday",07:25:00,NA,"S12000034","S12000034","A",NA,"Single carriageway",60,"Other junction","Give way or uncontrolled","A",NA,"None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine no high winds","Wet or damp","None","None","Urban","No","Data missing or out of range","-1",2021-01-05 07:25:00
"2021991012969",2021,"991012969",203430,759546,-5.211039,56.686167,"Police Scotland","Slight",3,1,2021-01-09,"Saturday",08:45:00,NA,"S12000017","S12000017","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Snowing no high winds","Frost or ice","None","Previous accident","Rural","No","Data missing or out of range","-1",2021-01-09 08:45:00
"2021991013013",2021,"991013013",322856,671748,-3.236346,55.932577,"Police Scotland","Slight",1,1,2021-01-08,"Friday",23:24:00,NA,"S12000036","S12000036","A",NA,"Single carriageway",20,"Other junction","Give way or uncontrolled","A",NA,"None within 50 metres","Central refuge","Darkness - lights lit","Other","Frost or ice","None","None","Urban","Yes","Data missing or out of range","-1",2021-01-08 23:24:00
"2021991013041",2021,"991013041",213301,696297,-5.005039,56.122781,"Police Scotland","Serious",3,1,2021-01-09,"Saturday",11:00:00,NA,"S12000035","S12000035","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Other","Frost or ice","None","None","Rural","No","Data missing or out of range","-1",2021-01-09 11:00:00
"2021991013071",2021,"991013071",257506,664620,-4.277854,55.853652,"Police Scotland","Slight",1,1,2021-01-09,"Saturday",19:52:00,NA,"S12000049","S12000049","A",NA,"Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Frost or ice","None","None","Urban","Yes","Data missing or out of range","-1",2021-01-09 19:52:00
