"accident_index","accident_year","accident_reference","location_easting_osgr","location_northing_osgr","longitude","latitude","police_force","accident_severity","number_of_vehicles","number_of_casualties","date","day_of_week","time","local_authority_district","local_authority_ons_district","local_authority_highway","first_road_class","first_road_number","road_type","speed_limit","junction_detail","junction_control","second_road_class","second_road_number","pedestrian_crossing_human_control","pedestrian_crossing_physical_facilities","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","did_police_officer_attend_scene_of_accident","trunk_road_flag","lsoa_of_accident_location","datetime"
"2020990914642",2020,"990914642",323358,657433,-3.22426,55.804069,"Police Scotland","Slight",1,1,2020-01-01,"Wednesday",02:51:00,"Midlothian","S12000019","S12000019","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine no high winds","Wet or damp","None","None","Rural","No","Data missing or out of range","-1",2020-01-01 02:51:00
"2020990914656",2020,"990914656",328344,674151,-3.149167,55.955012,"Police Scotland","Serious",2,2,2020-01-01,"Wednesday",07:48:00,"Edinburgh, City of","S12000036","S12000036","A",NA,"Single carriageway",30,"Crossroads","Auto traffic signal","A",NA,"None within 50 metres","Pedestrian phase at traffic signal junction","Daylight","Fine no high winds","Dry","None","None","Urban","No","Data missing or out of range","-1",2020-01-01 07:48:00
"2020990914694",2020,"990914694",250320,835075,-4.491377,57.381401,"Police Scotland","Serious",1,2,2020-01-01,"Wednesday",16:34:00,"Highland","S12000017","S12000017","A",NA,"Single carriageway",60,"Other junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine + high winds","Wet or damp","None","None","Rural","No","Data missing or out of range","-1",2020-01-01 16:34:00
"2020990915021",2020,"990915021",276914,648279,-3.960655,55.712264,"Police Scotland","Slight",1,1,2020-01-02,"Thursday",16:00:00,"South Lanarkshire","S12000029","S12000029","A",NA,"Single carriageway",50,"Roundabout","Give way or uncontrolled","B",NA,"None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Rural","No","Data missing or out of range","-1",2020-01-02 16:00:00
"2020990915091",2020,"990915091",211532,757129,-5.077207,56.667822,"Police Scotland","Slight",2,1,2020-01-02,"Thursday",12:45:00,"Highland","S12000017","S12000017","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Raining no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2020-01-02 12:45:00
"2020990915179",2020,"990915179",295127,657417,-3.674437,55.798618,"Police Scotland","Serious",2,1,2020-01-03,"Friday",07:40:00,"West Lothian","S12000040","S12000040","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2020-01-03 07:40:00
"2020990915343",2020,"990915343",284143,651871,-3.847188,55.746304,"Police Scotland","Serious",3,1,2020-01-03,"Friday",14:30:00,"South Lanarkshire","S12000029","S12000029","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","Other object on road","Rural","No","Data missing or out of range","-1",2020-01-03 14:30:00
"2020990915361",2020,"990915361",250771,686999,-4.397734,56.052507,"Police Scotland","Slight",2,3,2020-01-03,"Friday",19:15:00,"Stirling","S12000030","S12000030","A",NA,"Single carriageway",60,"Crossroads","Stop sign","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Raining no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2020-01-03 19:15:00
"2020990915481",2020,"990915481",228738,682543,-4.748237,56.00514,"Police Scotland","Slight",4,2,2020-01-04,"Saturday",15:30:00,"Argyll and Bute","S12000035","S12000035","A",NA,"Single carriageway",40,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Raining no high winds","Wet or damp","None","None","Urban","Yes","Data missing or out of range","-1",2020-01-04 15:30:00
"2020990915571",2020,"990915571",225604,704159,-4.812554,56.197985,"Police Scotland","Slight",1,4,2020-01-05,"Sunday",18:17:00,"Argyll and Bute","S12000035","S12000035","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Raining no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2020-01-05 18:17:00
