"accident_index","accident_year","accident_reference","location_easting_osgr","location_northing_osgr","longitude","latitude","police_force","accident_severity","number_of_vehicles","number_of_casualties","date","day_of_week","time","local_authority_district","local_authority_ons_district","local_authority_highway","first_road_class","first_road_number","road_type","speed_limit","junction_detail","junction_control","second_road_class","second_road_number","pedestrian_crossing_human_control","pedestrian_crossing_physical_facilities","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","did_police_officer_attend_scene_of_accident","trunk_road_flag","lsoa_of_accident_location","datetime"
"2022991225525",2022,"991225525",320574,717268,-3.286447,56.341082,"Police Scotland","Serious",1,1,2022-10-02,"Sunday",17:16:00,NA,"S12000048","S12000048","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Rural","Yes","Data missing or out of range","-1",2022-10-02 17:16:00
"2022991225529",2022,"991225529",341155,717235,-2.953568,56.343794,"Police Scotland","Serious",2,6,2022-10-02,"Sunday",08:06:00,NA,"S12000047","S12000047","A",NA,"Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2022-10-02 08:06:00
"2022991225542",2022,"991225542",342555,673317,-2.921431,55.949439,"Police Scotland","Slight",2,2,2022-10-02,"Sunday",05:40:00,NA,"S12000010","S12000010","A",NA,"Dual carriageway",70,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2022-10-02 05:40:00
"2022991225610",2022,"991225610",314524,569091,-3.338054,55.00901,"Police Scotland","Serious",1,1,2022-09-13,"Tuesday",08:00:00,NA,"S12000006","S12000006","A",NA,"Single carriageway",60,"Private drive or entrance","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Rural","Yes","Data missing or out of range","-1",2022-09-13 08:00:00
"2022991225663",2022,"991225663",380112,830455,-2.332259,57.364129,"Police Scotland","Fatal",1,1,2022-09-17,"Saturday",19:15:00,NA,"S12000034","S12000034","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2022-09-17 19:15:00
"2022991225769",2022,"991225769",389012,806649,-2.183243,57.150589,"Police Scotland","Slight",1,1,2022-08-31,"Wednesday",20:00:00,NA,"S12000033","S12000033","A",NA,"Single carriageway",30,"Crossroads","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Daylight","Raining no high winds","Dry","None","None","Rural","Yes","Data missing or out of range","-1",2022-08-31 20:00:00
"2022991225781",2022,"991225781",265725,665317,-4.147025,55.862276,"Police Scotland","Serious",2,2,2022-10-01,"Saturday",14:45:00,NA,"S12000049","S12000049","A",NA,"Dual carriageway",40,"More than 4 arms (not roundabout)","Give way or uncontrolled","C","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Central refuge","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Data missing or out of range","-1",2022-10-01 14:45:00
"2022991225788",2022,"991225788",272178,654809,-4.039052,55.769677,"Police Scotland","Slight",2,1,2022-10-03,"Monday",12:09:00,NA,"S12000029","S12000029","A",NA,"Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Central refuge","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Data missing or out of range","-1",2022-10-03 12:09:00
"2022991225944",2022,"991225944",355981,759566,-2.720934,56.725675,"Police Scotland","Slight",2,1,2022-10-03,"Monday",17:45:00,NA,"S12000041","S12000041","A",NA,"Dual carriageway",70,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Fine no high winds","Dry","None","None","Rural","Yes","Data missing or out of range","-1",2022-10-03 17:45:00
"2022991225956",2022,"991225956",340284,673638,-2.957862,55.952045,"Police Scotland","Slight",2,1,2022-09-29,"Thursday",07:00:00,NA,"S12000010","S12000010","A",NA,"Slip road",70,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - no lighting","Raining no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2022-09-29 07:00:00
"2022991225986",2022,"991225986",241878,553013,-4.464211,54.846878,"Police Scotland","Slight",4,1,2022-09-26,"Monday",16:00:00,NA,"S12000006","S12000006","A",NA,"Single carriageway",60,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Rural","Yes","Data missing or out of range","-1",2022-09-26 16:00:00
"2022991226013",2022,"991226013",327366,735842,-3.181766,56.509008,"Police Scotland","Serious",1,1,2022-09-30,"Friday",14:45:00,NA,"S12000041","S12000041","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Rural","Yes","Data missing or out of range","-1",2022-09-30 14:45:00
"2022991226269",2022,"991226269",312309,724284,-3.422449,56.402635,"Police Scotland","Serious",1,1,2022-09-29,"Thursday",20:35:00,NA,"S12000048","S12000048","A",NA,"Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Data missing or out of range","-1",2022-09-29 20:35:00
"2022991226291",2022,"991226291",324197,673333,-3.215333,55.947034,"Police Scotland","Slight",2,1,2022-10-03,"Monday",15:49:00,NA,"S12000036","S12000036","A",NA,"Single carriageway",20,"Other junction","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","No","Data missing or out of range","-1",2022-10-03 15:49:00
"2022991226381",2022,"991226381",194425,820178,-5.407107,57.226036,"Police Scotland","Serious",5,3,2022-09-05,"Monday",16:50:00,NA,"S12000017","S12000017","A",NA,"Single carriageway",60,"Not at junction or within 20 metres","Data missing or out of range","Not at junction or within 20 metres","Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","Other object on road","Rural","Yes","Data missing or out of range","-1",2022-09-05 16:50:00
